key,value
ACU,[' Array Configuration Utility']
API,[' Application Program Interface']
ASIC,[' Application-Specific Integrated Circuit']
AMQ,[' Active Message Queue']
AOC,[' Active Optical Cable']
BHCS,[' Button Head Cap Screw']
BA,[' Bonding Agent']
BOM,[' Bill of Materials']
BOT,[' Basic Operator Training']
BP,[' Backplane PCA']
CA,[' Customer Advisory']
CC,[' Customer Communication']
CPU,[' central processing unit']
CAS,[' Continuous Alignment Sensor']
CSO,[' Color Speed Option']
CPLD,[' Complex Programmable Logic Device']
CPS,[' Critical Parameter Specification']
CDF,[' Customer-Defined Frames']
DLS,[' Data Logging Service']
DEM,[' Dryer Expansion Module']
DMM,[' Digital multi meter']
F2B,[' front-to-back']
FFL,[' Fixed Frame Length']
FAP,[' fiber adapter plate']
FFK,[' Fixed Frame Length']
FHS,[' Fluid Handling System']
fpm,[' feet per minute']
FB,[' Frame Broker']
FO,[' Fiber Optic cable']
FSE,[' Field Service Engineer']
MLPA,[' Multi-Lane Print Architecture']
MRP,[' Multi-Roll Printing']
NIR,[' near-infrared']
GUI,[' Graphical User Interface']
HA,[' Host Adapter PCA']
HDNA,[' High-Definition Nozzle Architecture']
HMI,[' Human Machine Interface']
HL10,[' Hyper Low 10 Plus dryer']
HL9,[' Hyper Low 9 dryer']
I2C,[' Inter-Integrated Circuit']
ICC,[' International Color Consortium']
ICE,[' Integrated Card Enclosure']
ICF05,[' Indigo Compression Format 05']
ICF,[' Indigo Compression Format']
iLO,[' Integrated Lights Out']
IPMI,[' Intelligent Platform Management Interface']
INTC,[' Interconnect PCA']
FIFO,[' First-In First-Out']
KVM,[' Keyboard-video-mouse']
LOS,[' loss of signal']
LAN,[' local area network']
MICR,[' magnetic ink character recognition']
MUA,[' Makeup Air']
mDP,[' mini Display Port']
MMR,[' Monthly Maintenance Release']
NH,[' nozzle health']
MFI,[' Modular Finishing Interface']
MSA,[' modular smart array']
JST,[' Job Submission Tool']
OM2,[' Optical Multimode 2']
OM3,[' Optical Multimode 3']
OPV,[' over print varnish']
PCIe,[' peripheral component interconnect express']
PCA,[' Printed Circuit Assembly']
PCAs,[' Printed Circuit Assemblies']
PIA,[' Press Interface Adapter']
PPE,[' personal protective equipment']
PDF,[' Portable Document Format']
PPS,[' printhead-to-paper spacing']
PCS,[' Press Control Server']
PCR,[' Press Code Release']
PVR,[' Production Volume Release']
PCF,[' press code feature']
IPC,[' Inline Process Control']
PA,[' print arch']
PEC,[' Print Engine Controller']
PEC01,[' Print Engine Controller']
PEC02,[' Print Engine Controller']
PUMP,[' Preventive Uniformity Maintenance Procedure']
QSFP,[' Quad Small Form-Factor Pluggable']
QRR,[' Quick Run Restart']
RCA,[' Rear Connection Assembly']
RITS,[' Remote Ink Transfer Station']
RTP,[' Rip to Print']
RPU,[' Raster Processing Unit']
RTM,[' Rear Transition Module']
RTM2,[' Rear Transition Module 2']
SDM,[' System Diagnostic Manager']
SDS,[' Safety Data Sheets']
SiDE,[' Side Dryer Extension']
SFP,[' small form-factor pluggable']
SA,[' Service Advisory']
SUC,[' startup calibration']
SB,[' Service Bulletin']
SP,[' setpoint']
SPA,[' Sequoia Press Adapter']
SPC,[' Sequoia press controller']
SRS,[' scalable RIP solution.']
SRSC,[' scalable RIP solution controller']
SSH,[' Secure Shell']
SVS,[' Service']
SwRTM,[' Switch Rear Transition Module']
TOF,[' Top-of-Form']
Tcl,[' Tool Command Language']
TCU,[' Tension Control Unit']
VFD,[' Variable Frequency Drive']
VLAN,[' Virtual Local Area Network']
VNC,[' Virtual Network Computing']
VPN,[' virtual private network']
VSI,[' Vision System Interface']
VSRS,[' visual scalable RIP solution']
wc,[' water colum']
WWC,[' web-wipe cassette']
WISH,[' Web Isolation System Hardware']
XML,[' eXtensible Markup Language']
ZSS,[' zero-speed splicer']
3D,[' 3D color calibration']
AAA,[' Automatic Alert Agent']
AAP,[' Adjustable Anamorphic Prism']
ADC,"[' Analog-Digital Converter', ' Analog Digital Converter']"
AK,[' Air Knife']
ALRM,[' Alarm']
ANILOX,[' Anilox']
ARM,[' ARM']
aSiD,"[' a-SiD', ' Amorphic silicon drum']"
ATP,[' Acceptance Test Procedure']
AVG,[' Average']
BAT_PCK,[' Battery Pack']
BCR,"[' BCR/STIR', ' Blanket cleaning roller']"
BCS,[' Blanket Cleaning Station']
BCU,[' Buffering Control Unit']
BDU,"[' BID Developer Unit board', ' BID Drive Unit']"
BDV,"[' Blanket Drying and Ventilation system', ' Blanket Drying and ventilation']"
BFR,[' Buffer']
BID,[' Binary Ink Development']
BID FI,[' BID Fluid Interface']
BK,[' BACK']
BKT,[' Blanket']
blanket,[' Image Transfer Blanket']
BLDC,[' Brushless DC motor']
BLWR,[' Blower']
BQ,[' Background Qualifier']
BR,[' Backing roller']
BRD,[' Board']
BRG,[' Bridge']
BRK,[' brake']
BRS,[' Blanket replacement system']
BRUSH,[' Brush']
BSM,"[' BID servomotor', ' BID Servo Motor']"
BSMD,[' Bid Servo Motor Driver']
BTL,[' Bottle']
BTM,[' Bottom ']
BTN,[' Button']
BUZ,[' BUZZER']
BYPS,[' Bypass']
CAM,[' Camera']
CAN,[' Controller Area Network']
CATP,[' Customer Acceptance Test Procedure']
CB,"[' Circuit Breaker', ' Customer Bulletin']"
CCC,[' Continuous Color Calibration']
CCW,[' Counter-Clockwise']
CD,"[' Charge Director (generic name for Imaging Agent)', ' Charge Director']"
CDM,[' Conductivity and Density meter']
CE,[' Customer Engineer']
CEP,[' Color Engine Pilot']
CF,[' CFast Card']
CHCK,"[' Chock', ' Check']"
CHILLER,[' Chiller']
CHMB,[' Chamber ']
CLMP,[' Clamp']
CLN,[' Clean']
CLNR,[' Cleaner']
CLS,[' Close']
COAT,[' Coating']
COI,"[' completion of installation', ' Certificate of Installation']"
COMM,[' Communication']
CONDUCT,[' Conductivity']
COOL,[' Cooling']
COOLNT,[' Coolant']
CORBON,[' Corbon']
CPP,[' Cost Per Page']
CPR,"[' Color Plane Registration (CPR)', ' Color Plane Registration']"
CR,[' Charge roller']
CR HVSC,[' Charge Roller High Voltage Stepper Control']
CRNA,[' CORONA']
CRU,[' Charge roller unit']
CS,[' Cleaning station']
CSC,[' Continuous Scaling Control ']
CTCH,[' Catch']
CTR,[' Center']
CTRL,[' Control']
CVC,[' Climate Control and VOC Capture']
CVR,[' Cover']
CW,[' Clockwise']
CWS,[' Cooling water control system']
CYL,[' CYLINDER']
DA,[' Dot Area']
DARK,[' Dark']
DCB,[' Dimmer Control Board']
DCD,[' Direct Current Distribution']
DCI,[' Drum Control Interface']
DETCT,[' Detect']
DETGNT,[' Detergent']
DEWP,[' Dew Point']
DFC,[' Differential bow compensation by Format Correction']
DFE,[' Digital Front End']
DFR,[' Duplex Feed Roller']
DFS,[' Dynamic Flow System']
DIAG,[' Diagnostics']
DIAM,[' Diameter']
DIG,[' Digital']
DISTL,[' Distilled']
DMC,[' Dynamic Mirror Controller']
DNCR,[' DANCER']
D-ON,[' Dark-On']
DPI,"[' dots per inch (dpi)', ' Dots Per Inch']"
DPLX,[' Duplex']
DRV,[' Driver']
DRY,[' Dryer']
DR,[' Drive Roller']
Dr blade,[' doctor blade']
DIP,[' Digital Ink Primer']
DSC,[' DSP Servo Controller']
DSP,[' Digital Signal Processor']
DSPLY,[' Display']
DVM,[' Digital Volt Meter']
DWN,[' DOWN']
DWR,[' Drawer']
E2E,[' End to End']
EB,[' Exit Buffer']
EBM,[' Easy Blanket Mounting']
EBV,"[' Exit Blanket Ventilation', ' Exit Blanket Hood']"
EC,"[' electrical cabinet', ' Exit Conveyor']"
ECAT_ADPT_INV,[' SI_EtherCAT']
EDGE,[' Edge']
EF,[' E-Fuse']
EH,[' External Heater']
EI,[' ElektroInk']
ELC,[' Encoder and LPH Control']
ELECMTR,[' Electrometer']
ELECTRD,[' Electrode']
ELF,[' Electrical Fatigue']
EMC,[' Electro Magnetic Charge']
ENC,[' Encoder']
ENG,[' Engage']
EOS,[' End of Scan']
EP,[' IP67 Module ( Beckhoff EP module)']
EPM,[' Enhanced Productivity Mode']
ERR,[' Error']
ESD,[' Electrostatic Discharge']
E-STOP,[' Emergency stop']
ETH_SW,[' Ethernet Switch']
ETP,[' EtherCAT Port Multiplier']
EXIT,[' Exit']
EXPAND,[' Expanding']
EXTR,[' External']
EXTRCT,"[' EXTRACTION', ' EXTRACTOR']"
FCC,[' Full color calibration']
FDBK,[' Feedback']
FDT,[' Feeder Diagnostic Tool']
FE,[' Feed Exit']
FFT,[' Fast Fourier Transform']
FI,"[' Feed Roller', ' Fluid Interface', ' Fluid Injector (BID connector)', ' Fluid Interconnect block']"
FLC,[' Finishing Line Controller']
FLD,[' Fluid']
FLOAT,[' Float']
FLR,[' Floor']
FLTR,[' Filter ']
FLW,[' Flow']
FM,"[' Frequency Modulation', ' Stochastic (Frequency Modulation) screening']"
FOS,[' Forked Ozone Suction']
FP,[' Feed Process']
FPGA,[' Field Programmable Gate Array']
FRNT,[' Front']
FRU,[' Field Replaceble Unit']
FTB,[' Front To Back']
FTF,[' Front To Front']
FU,[' Feed Unit ']
FWD,[' Forward']
GANG,[' Ganged']
GBU,[' Global Business Unit']
GDU,[' Gripper Drive Unit']
GEN,[' GENERATOR']
GLINK,[' Graphics Link']
GLS,[' Gear Lubrication System']
GND,[' GrouND']
GSM,[' Gram per Square Meter']
GWTH,[' Growth']
HCB,[' Heater Control Board']
HCPR,"[' Horizontal Color Plane Registration', ' Horizontal Color Plane Registration (HCPR)']"
HDI,[' High Definition Imaging']
HE,[' Heat exchanger']
HNVS,"[' High Non Volatile Solids (tubes)', ' High Non Volatile Solids']"
HPAU,"[' HP Automatic Updater (HPAU)', ' HP Automatic Updater']"
HPIPES,[' HP Indigo Photo Enhancement Server']
HQ RIP,[' Harlequin RIP']
HTR,[' Heater']
HTS,[' Harmonic Topology Screening']
HV,[' High Voltage']
HVIF,[' High Voltage Interface']
HVPS,"[' high-voltage power supply (HVPS)', ' High Voltage Power Supply']"
HVSC,[' High Voltage Stepper Control']
HX,[' Heat Exchanger']
I/O,[' Input/Output']
IA,[' imaging agent']
IBS,"[' Internal buffer system', ' Inline Buffer System']"
IC,"[' Ink cabinet', ' industrial controller']"
ICD,[' Interface Control Document']
ICL,"[' Imaging oil Conductivity and Level (ICL) board', ' Imaging Oil Conductivity and Level']"
ICS,[' Interoperability Conformance Specifications']
IDO,[' IDO']
IDS,"[' Ink Drying System', ' Ink Delivery System']"
IFR,"[' Input Feed Roller (IFR)', ' Input Feed Roller']"
ILC,[' Inline coater']
ILD,"[' Inline Densitometer (ILD)', ' InLine Densitometer']"
ILF,[' Inline Finisher']
ILP,"[' Inline primer (ILP)', ' Inline primer', ' priming substrate system in-line']"
ILS,"[' Inline Scanner (ILS)', ' Inline Scanner']"
IMO,[' Imaging Oil']
IMP,"[' Impression (drum)', ' Impression']"
IN,[' Input']
INTLK,[' Interlock']
INV,[' Invertor']
IO,[' Imaging Oil']
IOC,"[' Imaging Oil Control (IOC) board', ' Imaging Oil Control']"
IOS,[' Imaging Oil System']
IR,"[' Info Red', ' Infrared']"
ISV,[' Internet Service Vendor']
ITC,"[' Impression Thermal Control', ' Impression drum temperature control', ' Impression temperature control']"
ITM,[' intermediate transfer media']
ITM HVPS,[' ITM High Voltage Power Supply']
ITT,[' Image Tracking Technology']
JB,[' Junction BOX']
JDF,[' Job Definition Format']
JLT,[' jlt file']
JMF,[' Job Messaging Format']
JMP,[' Jumper']
KNF,[' knife']
LC,"[' load cell', ' Lucent Connector']"
LDC,"[' Laser Diode Control', ' Laser Diode Controller']"
LDD,[' Laser Diode Driver']
LE,[' Leading Edge']
LED,"[' Light Emitting Diode', ' light-emitting diode']"
LEP,"[' liquid electrophotography', ' electrophotographic printing']"
