,catalog_number,products
0,TS5ES-00030,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
1,TS3ES-00010,"['HP Indigo 6P Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 8K Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 7900 Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo W7250 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 8000 Digital Press']"
2,TS4ES-00020,"['HP Indigo 30000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
3,TN-2595,"['HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
4,CA464-00640,['HP Indigo 200K Digital Press']
5,CA554-01122,['HP Indigo 200K Digital Press']
6,CN-2601,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
7,TN-2594,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
8,TN-2603,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
9,CN-2591,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
10,TN-2612,['HP Indigo 6K Digital Press']
11,TS3ES-00013,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
12,TN-2616,"['HP Indigo 6P Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 8K Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 7900 Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo W7250 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 8000 Digital Press']"
13,TN-2619,['HP Indigo 35K Digital Press']
14,TN-2623,"['HP Indigo 7r Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6r Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
15,TN-2621,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press']"
16,TN-2570,"['HP Indigo 6900 Digital Press', 'HP Indigo 6800 Series Digital Presses']"
17,xR-0092,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
18,TN-2647,['HP Indigo V12 Digital Press']
