documentID,Category,products_new,Press Platform
41277,Wiring Diagram,[],
41749,Wiring Diagram,[],
45566,Video,[],
41279,Hardware Solutions,[],
41280,Wiring Diagram,[],
211066,Video,[],
211086,Software Solutions,[],
211087,Software Solutions,[],
211170,Video,[],
418955,Software Solutions,[],
241355,Press Platform,['HP PageWide A2200'],A2200 
58745,Communications,[],
60890,Hardware Solutions,[],
66461,Press Platform,"['HP PageWide Web Press T2xx', 'HP PageWide Web Press T4xx', 'HP PageWide Web Press T3xx']","T2XXHD,T3XXHD,T4XXHD"
66563,Software Solutions,[],
66566,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all web presses running PCR 5.0.19.06 or later.
63986,Communications,[],
63990,Communications,[],
61897,Hardware Solutions,[],
66783,Press Platform,['HP PageWide Web Press T11xx'],T11xx
66957,Video,[],
94699,Communications,[],
95019,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",All HP PageWide Web Press presses running 
95023,Press Platform,[],
95025,Press Platform,"['HP PageWide Web Press T4xx', 'HP PageWide Web Press T11xx']",T4xx and T11xx 
95027,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",allpresses running PCR 5.0.21.11or later
95032,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",impacts all presses running PCR 5.0.22.02or later
95035,Press Platform,['HP PageWide Web Press T4xx'],T4xx
97181,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses of all platforms r
97182,Press Platform,['HP PageWide Web Press T250 HD'],T250
118701,Press Platform,['HP PageWide Web Press T4xx'],T4xx presses
118711,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",This feature impacts a limited number of pressesrunning PCR 5.0.21.11or later.
166345,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']", allpresses running PCR 6.1.23.08or later
188288,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",allpresses running PCR 6.1.23.08or later
188297,Hardware Solutions,[],
188299,Hardware Solutions,[],
188424,Video,[],
60715,Hardware Solutions,[],
60718,Hardware Solutions,[],
60880,Hardware Solutions,[],
60883,Hardware Solutions,[],
60886,Hardware Solutions,[],
393380,Communications,[],
393381,Communications,[],
393423,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",allpresseswith HP Brilliant inks
34885,Hardware Solutions,[],
41048,Software Solutions,[],
41276,Wiring Diagram,[],
41278,Wiring Diagram,[],
45741,Video,[],
51247,Press Platform,[],HP PrintOS
57891,Press Platform,[],
60892,Hardware Solutions,[],
66457,Press Platform,['HP PageWide Web Press T11xx'],T11XX 
63602,Communications,[],
63982,Communications,[],
63983,Communications,[],
63984,Communications,[],
63985,Communications,[],
63988,Communications,[],
63989,Communications,[],
63991,Communications,[],
64459,Hardware Solutions,[],
66784,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']", all platforms with PCR 5.0.19.08 and later. 
66959,Video,[],
94722,Hardware Solutions,[],
95018,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']", all platforms with PCR 5.0.19.08 and later. 
95026,Press Platform,"['HP PageWide Web Press T4xx', 'HP PageWide Web Press T11xx']",T4xx and T11xx
95028,Press Platform,['HP PageWide Web Press T2xx'],T2xx 
95031,Press Platform,['HP PageWide Web Press T11xx'],T11xx
61792,Communications,[],
60656,Video,[],
60714,Hardware Solutions,[],
60878,Hardware Solutions,[],
60879,Hardware Solutions,[],
97176,Software Solutions,[],
97178,Hardware Solutions,[],
97188,Hardware Solutions,[],
188292,Hardware Solutions,[],
188295,Hardware Solutions,[],
188300,Hardware Solutions,[],
188317,Hardware Solutions,[],
210809,Software Solutions,[],
211068,Software Solutions,[],
350426,Software Solutions,[],
350557,Software Solutions,[],
371258,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']", all presses running PCR 6.x.23.10or later
308386,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presseswith color vision systems
41435,Hardware Solutions,[],
41125,Hardware Solutions,[],
41204,Communications,[],
41237,Press Platform,['HP PageWide Web Press T200'],T200
41664,Hardware Solutions,[],
43526,Hardware Solutions,[],
59760,Software Solutions,[],
60875,Hardware Solutions,[],
60876,Hardware Solutions,[],
60877,Hardware Solutions,[],
46687,Video,[],
45740,Video,[],
45742,Video,[],
45743,Video,[],
45744,Video,[],
45745,Video,[],
45748,Video,[],
60888,Hardware Solutions,[],
66455,Software Solutions,[],
66462,Press Platform,"['HP PageWide Web Press T2xx', 'HP PageWide Web Press T4xx', 'HP PageWide Web Press T3xx', 'HP PageWide Web Press T11xx']","T2XX, T3XX, T11XX and T4XX"
63987,Communications,[],
66748,Hardware Solutions,[],
66776,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all HP press platforms
66791,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses in multi-roll printing (MRP
66960,Video,[],
66963,Video,[],
94677,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses running PCR 5.0.22.06or later
94718,Software Solutions,[],
95017,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses running PCR 5.0.21.08or later
95033,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses running PCR 5.0.22.02or later.
95037,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",Ink Estimator interface is available on all presses beginning with PCR 5.0.22.02; the improved version is the only version available for presses running 5.0.22.10 and above
97175,Press Platform,"['HP PageWide Web Press T4xx', 'HP PageWide Web Press T3xx', 'HP PageWide Web Press T11xx']","T3xx, T4xx, and T11xx presses"
166334,Video,[],
418939,Hardware Solutions,[],
286579,Hardware Solutions,[],
350425,Software Solutions,[],
370527,Communications,[],
370530,Hardware Solutions,[],
393088,Communications,[],
393421,Press Platform,"['T11XX','T2XX','A22XX','T3XX','T4XX','A2200']",all presses
41372,Wiring Diagram,[],
41453,Press Platform,['HP PageWide Web Press T200'],T200
41045,Hardware Solutions,[],
41126,Hardware Solutions,[],
41303,Hardware Solutions,[],
41313,Hardware Solutions,[],
45391,Video,[],
45747,Video,[],
43525,Hardware Solutions,[],
211065,Video,[],
418750,Video,[],
