categories,products
Color Management,"['T2xx Series, T3xx Series, T4xx Series ']"
DFE,"['T2xx Series, T3xx Series, T4xx Series ']"
Region specific,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
3rd Party Delivery,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Regional,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Assessments,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
PWP - Additional courses,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Install and Upgrades,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Webinars,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Color Management Languages,"['T2xx Series, T3xx Series, T4xx Series ']"
Color Management for Customers,"['T2xx Series, T3xx Series, T4xx Series ']"
Corrugated Packaging,"['T4xxS Series, T11xxS Series']"
Corrugated-Customer,"['T4xxS Series, T11xxS Series', 'T4xxS Series, T11xxSS Series']"
"DFE Commercial eLearning - T2xx, T3xx, T4xx","['T2xx Series, T3xx Series, T4xx Series ']"
DFE eLearning,"['T2xx Series, T3xx Series, T4xx Series ']"
HP SmartStream Elite-DT Software,"['T2xx Series, T3xx Series, T4xx Series ']"
LS Webinar,['T2xx Series ']
LS eLearning,['T2xx Series ']
Media,"['T2xx Series, T3xx Series, T4xx Series ']"
Operator/Production Manager,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
OperatorProduction Manager,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Production Manager,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Professional Services,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Safety,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
T250 Upgrade Localized,['T250 HD']
Tier 3,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Training Edge eLearning,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
WC Webinars,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Windchill,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Upgrades,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Technician,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
How To....,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Internal HP,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Introductions,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
Operator,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
PCR Review,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
PageWide Industrial,"['T11XX', 'T2XX', 'A22XX', 'T3XX', 'T4XX', 'A2200']"
