Device Name,Pattern
HP Indigo 1x000 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?1x000(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 3xx0 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?3xx0(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 7XXX Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?7XXX(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 5x00 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?5x00(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 6x00 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?6x00(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 8x00 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?8x00(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 6000 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?6000(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 6800 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?6800(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 20000 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?20000(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 30000 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?30000(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 2000 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?2000(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 6600 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?6600(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo ws4xx0 Series Digital Presses,\b(?:HP\s*)?(?:Indigo\s*)?ws4xx0(?:\s*(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 8K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?8K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 100K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?100K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 10000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?10000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 10000 HD Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?(10000)(?:\s*(?:HD\s*)?(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 100k HD Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?(100k)(?:\s*(?:HD\s*)?(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 15k HD Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?(15k)(?:\s*(?:HD\s*)?(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo 10r Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?10r(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 12000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?12000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 12000 HD Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?(12000)(?:\s*(?:HD\s*)?(?:Series|Digital\s*Press(?:es)?|Press(?:es)?))*\b
HP Indigo WS6600 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS6600(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo WS6x00 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS6x00(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo WS6600p Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS6600p(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo WS6800p Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS6800p(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 6900 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?6900(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo WS6800 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS6800(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7600 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7600(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7x00 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7x00(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7800 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7800(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7500 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7500(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7r Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7r(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7eco Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7eco(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 20000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?20000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 8000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?8000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 30000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?30000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 5600 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?5600(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
